epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,4085.98,1.16208,0.83551,0.00436,0.81216,0.61834,0.73348,0.53814,0.99386,0.75213,0.00464,0.0006337,0.0006337,0.0006337
113,4125.33,1.17228,0.83791,0.00427,0.88286,0.58126,0.74136,0.53206,1.044,0.74849,0.00509,0.0006304,0.0006304,0.0006304
114,4165.36,1.16853,0.83396,0.00437,0.83879,0.57932,0.74096,0.53605,1.00059,0.72292,0.00494,0.0006271,0.0006271,0.0006271
115,4205.32,1.19257,0.84809,0.00423,0.88449,0.60744,0.74837,0.5377,0.98439,0.7383,0.00477,0.0006238,0.0006238,0.0006238
116,4245.22,1.15014,0.84314,0.00424,0.84452,0.59815,0.76387,0.54893,0.9733,0.74274,0.00467,0.0006205,0.0006205,0.0006205
117,4284.87,1.19527,0.84772,0.00437,0.81901,0.62827,0.72799,0.53228,1.00715,0.74076,0.00515,0.0006172,0.0006172,0.0006172
118,4324.13,1.18706,0.83485,0.00429,0.88591,0.54736,0.7232,0.51927,0.98155,0.75845,0.0049,0.0006139,0.0006139,0.0006139
119,4363.49,1.17341,0.84319,0.00421,0.83539,0.60667,0.75797,0.54315,0.97019,0.74829,0.00465,0.0006106,0.0006106,0.0006106
120,4402.95,1.16774,0.83434,0.00425,0.87684,0.58797,0.73681,0.53857,0.95837,0.75765,0.00496,0.0006073,0.0006073,0.0006073
121,4442.15,1.17368,0.84277,0.00426,0.92647,0.55716,0.7402,0.53882,0.99974,0.72613,0.00515,0.000604,0.000604,0.000604
122,4481.34,1.17653,0.83253,0.00416,0.90084,0.55594,0.70624,0.5335,0.97512,0.74622,0.00465,0.0006007,0.0006007,0.0006007
123,4520.55,1.13743,0.81286,0.00422,0.78979,0.64061,0.74714,0.54875,0.9564,0.73911,0.00476,0.0005974,0.0005974,0.0005974
124,4560.03,1.15918,0.82548,0.00404,0.80091,0.61097,0.74499,0.54028,0.9862,0.73855,0.00496,0.0005941,0.0005941,0.0005941
125,4599.54,1.14718,0.8192,0.00409,0.87003,0.61681,0.76988,0.55902,0.98122,0.71029,0.005,0.0005908,0.0005908,0.0005908
126,4638.86,1.14603,0.81112,0.00418,0.82872,0.65953,0.75774,0.55864,0.97057,0.72004,0.00482,0.0005875,0.0005875,0.0005875
127,4678.26,1.14494,0.8154,0.00403,0.87099,0.57941,0.73735,0.55316,0.9417,0.71947,0.00473,0.0005842,0.0005842,0.0005842
128,4717.82,1.13466,0.81338,0.00399,0.76676,0.63799,0.74947,0.55547,0.96729,0.72228,0.00488,0.0005809,0.0005809,0.0005809
129,4757.35,1.13082,0.81081,0.00408,0.8506,0.59892,0.74218,0.55361,0.94862,0.71235,0.00489,0.0005776,0.0005776,0.0005776
130,4796.58,1.14639,0.81486,0.00407,0.84682,0.60982,0.77663,0.55535,0.94817,0.7157,0.00453,0.0005743,0.0005743,0.0005743
131,4835.91,1.1444,0.8229,0.0041,0.81592,0.66005,0.76696,0.56274,0.97323,0.72338,0.00488,0.000571,0.000571,0.000571
132,4875.19,1.13049,0.80391,0.00408,0.80525,0.64738,0.78058,0.56436,0.95976,0.72469,0.005,0.0005677,0.0005677,0.0005677
133,4913.1,1.13586,0.80368,0.00403,0.85933,0.60213,0.7534,0.55294,0.97785,0.72473,0.00489,0.0005644,0.0005644,0.0005644
134,4950.14,1.1206,0.81183,0.00407,0.85478,0.59989,0.75537,0.55239,0.93244,0.72459,0.00453,0.0005611,0.0005611,0.0005611
135,4987.04,1.13169,0.8003,0.00394,0.89813,0.63994,0.77664,0.5578,0.94723,0.72567,0.00476,0.0005578,0.0005578,0.0005578
136,5024.43,1.12876,0.80879,0.00403,0.88014,0.64229,0.75067,0.55045,0.94538,0.7087,0.00456,0.0005545,0.0005545,0.0005545
137,5061.75,1.11443,0.80075,0.0039,0.906,0.63446,0.77524,0.57025,0.93381,0.7071,0.00461,0.0005512,0.0005512,0.0005512
138,5099.65,1.11595,0.80133,0.00387,0.8765,0.66235,0.79771,0.585,0.93051,0.69004,0.00438,0.0005479,0.0005479,0.0005479
139,5137.81,1.11952,0.80047,0.00397,0.84238,0.65033,0.76643,0.56418,0.94031,0.72659,0.00486,0.0005446,0.0005446,0.0005446
140,5175.19,1.11429,0.80004,0.00395,0.83308,0.67248,0.76799,0.56579,0.93642,0.69699,0.00452,0.0005413,0.0005413,0.0005413
141,5213.09,1.10422,0.78561,0.00391,0.82704,0.67904,0.78219,0.5645,0.95309,0.71481,0.00465,0.000538,0.000538,0.000538
142,5250.61,1.12166,0.80166,0.0039,0.82072,0.66819,0.77532,0.57525,0.91725,0.7092,0.00471,0.0005347,0.0005347,0.0005347
143,5288.17,1.11364,0.79744,0.00384,0.80732,0.65597,0.76708,0.5816,0.90558,0.70536,0.00446,0.0005314,0.0005314,0.0005314
144,5326.03,1.09276,0.78585,0.00389,0.84156,0.64806,0.77524,0.56614,0.92137,0.70774,0.00438,0.0005281,0.0005281,0.0005281
145,5363.89,1.07708,0.77528,0.00388,0.85533,0.65631,0.779,0.57593,0.91293,0.68867,0.00455,0.0005248,0.0005248,0.0005248
146,5401.74,1.09306,0.79066,0.00398,0.82718,0.66107,0.77799,0.57473,0.93587,0.71941,0.00456,0.0005215,0.0005215,0.0005215
147,5439.99,1.09477,0.79191,0.0039,0.86499,0.65162,0.7748,0.57934,0.90134,0.6852,0.00421,0.0005182,0.0005182,0.0005182
148,5476.86,1.07603,0.78192,0.00396,0.83803,0.67641,0.77317,0.57214,0.94041,0.70126,0.00498,0.0005149,0.0005149,0.0005149
149,5514.99,1.07623,0.77792,0.00388,0.85699,0.66928,0.80053,0.58661,0.90537,0.68536,0.00429,0.0005116,0.0005116,0.0005116
150,5555.31,1.10156,0.78002,0.00389,0.83083,0.66973,0.77095,0.57618,0.90129,0.68814,0.00437,0.0005083,0.0005083,0.0005083
151,5595.01,1.10589,0.77656,0.00386,0.87964,0.61506,0.76738,0.57678,0.912,0.69033,0.0045,0.000505,0.000505,0.000505
152,5635.26,1.09545,0.77901,0.00379,0.86994,0.64282,0.7928,0.58546,0.91105,0.691,0.00436,0.0005017,0.0005017,0.0005017
153,5675.8,1.07027,0.7785,0.00377,0.86484,0.6796,0.81454,0.60239,0.89624,0.67984,0.00432,0.0004984,0.0004984,0.0004984
154,5715.51,1.10168,0.78284,0.00374,0.87395,0.65249,0.76225,0.57974,0.89256,0.67743,0.00437,0.0004951,0.0004951,0.0004951
155,5755.42,1.10182,0.79259,0.00382,0.91255,0.65747,0.80196,0.58979,0.91654,0.69305,0.00434,0.0004918,0.0004918,0.0004918
156,5795.11,1.08,0.76772,0.00373,0.89609,0.65742,0.7789,0.58531,0.88209,0.68926,0.00412,0.0004885,0.0004885,0.0004885
157,5834.9,1.09399,0.76989,0.00375,0.78945,0.66161,0.79156,0.58881,0.89897,0.68796,0.00434,0.0004852,0.0004852,0.0004852
158,5874.7,1.07523,0.76351,0.00379,0.86852,0.60703,0.78481,0.58961,0.88066,0.66683,0.00421,0.0004819,0.0004819,0.0004819
159,5916.06,1.12707,0.78763,0.00372,0.86979,0.65976,0.78701,0.57919,0.89093,0.68409,0.00443,0.0004786,0.0004786,0.0004786
160,5956.39,1.09651,0.76309,0.00373,0.86881,0.66471,0.79541,0.59501,0.87619,0.65436,0.00418,0.0004753,0.0004753,0.0004753
161,5995.34,1.0734,0.75483,0.00367,0.81294,0.71759,0.81859,0.59851,0.88217,0.67724,0.00433,0.000472,0.000472,0.000472
162,6034.71,1.05561,0.75453,0.00371,0.86208,0.69426,0.80846,0.59694,0.87756,0.64073,0.00432,0.0004687,0.0004687,0.0004687
163,6074.37,1.06546,0.76545,0.00371,0.8847,0.69742,0.82419,0.6072,0.87676,0.65261,0.00436,0.0004654,0.0004654,0.0004654
164,6113.55,1.05458,0.75189,0.00376,0.8661,0.67595,0.80865,0.60204,0.89778,0.66458,0.00437,0.0004621,0.0004621,0.0004621
165,6152.98,1.0829,0.77401,0.00381,0.86155,0.68577,0.81476,0.60528,0.88234,0.66303,0.00422,0.0004588,0.0004588,0.0004588
166,6192.6,1.05806,0.75165,0.00372,0.86991,0.68456,0.80593,0.59324,0.90718,0.6523,0.00424,0.0004555,0.0004555,0.0004555
167,6232.43,1.07976,0.76069,0.00373,0.89634,0.67074,0.81247,0.59784,0.90131,0.63661,0.00455,0.0004522,0.0004522,0.0004522
168,6271.81,1.06822,0.76491,0.00374,0.82182,0.69474,0.80123,0.60277,0.88904,0.64788,0.00441,0.0004489,0.0004489,0.0004489
169,6310.97,1.05084,0.74888,0.00369,0.86634,0.69272,0.8235,0.61483,0.87608,0.65109,0.00422,0.0004456,0.0004456,0.0004456
170,6350.61,1.0458,0.74696,0.00374,0.79828,0.68774,0.81805,0.60372,0.85507,0.65688,0.00431,0.0004423,0.0004423,0.0004423
171,6389.72,1.0712,0.75735,0.0037,0.81794,0.72502,0.83439,0.60556,0.87344,0.66592,0.00423,0.000439,0.000439,0.000439
172,6429.15,1.05413,0.75263,0.00378,0.82825,0.7127,0.82823,0.61107,0.84528,0.64156,0.004,0.0004357,0.0004357,0.0004357
173,6468.9,1.05177,0.7528,0.00356,0.88867,0.69012,0.80366,0.60306,0.87008,0.63495,0.00404,0.0004324,0.0004324,0.0004324
174,6508.53,1.05349,0.75295,0.00374,0.91102,0.66377,0.81308,0.60402,0.87716,0.64877,0.00412,0.0004291,0.0004291,0.0004291
175,6547.86,1.06046,0.75269,0.00359,0.8982,0.68061,0.83308,0.6086,0.89337,0.64777,0.00439,0.0004258,0.0004258,0.0004258
176,6587.12,1.06208,0.74842,0.00357,0.91106,0.67112,0.82887,0.60498,0.87307,0.64865,0.0041,0.0004225,0.0004225,0.0004225
177,6626.71,1.03845,0.7482,0.00357,0.89423,0.69397,0.81989,0.60871,0.85048,0.63997,0.00391,0.0004192,0.0004192,0.0004192
178,6665.99,1.04156,0.74405,0.00362,0.92936,0.66951,0.83133,0.60413,0.85733,0.64725,0.0041,0.0004159,0.0004159,0.0004159
179,6705.59,1.06117,0.75099,0.0036,0.82281,0.71962,0.82409,0.61023,0.85856,0.63954,0.00392,0.0004126,0.0004126,0.0004126
180,6744.97,1.03712,0.74166,0.00359,0.89306,0.66324,0.81683,0.607,0.87068,0.65457,0.0041,0.0004093,0.0004093,0.0004093
181,6784.41,1.04821,0.74604,0.00358,0.89583,0.66691,0.82465,0.61056,0.87844,0.65321,0.0042,0.000406,0.000406,0.000406
